ingredient,fodmap_level,fodmap_group,category
Scallion,HIGH,Monash-derived,vegetable
organic scallion,HIGH,Monash-derived,vegetable
raw scallion,HIGH,Monash-derived,vegetable
Green Onion,HIGH,Monash-derived,vegetable
green onion,HIGH,Monash-derived,vegetable
broccoli stem,HIGH,Monash-derived,vegetable
Broccoli Stem,HIGH,Monash-derived,vegetable
fresh okra,HIGH,Monash-derived,vegetable
organic okra,HIGH,Monash-derived,vegetable
dried okra,HIGH,Monash-derived,vegetable
okra,HIGH,Monash-derived,vegetable
Okra,HIGH,Monash-derived,vegetable
raw okra,HIGH,Monash-derived,vegetable
dried celery,HIGH,Monash-derived,vegetable
raw celery,HIGH,Monash-derived,vegetable
organic celery,HIGH,Monash-derived,vegetable
Celery,HIGH,Monash-derived,vegetable
celery,HIGH,Monash-derived,vegetable
fresh celery,HIGH,Monash-derived,vegetable
sweet corn,HIGH,Monash-derived,vegetable
Sweet Corn,HIGH,Monash-derived,vegetable
dried cabbage,HIGH,Monash-derived,vegetable
organic cabbage,HIGH,Monash-derived,vegetable
raw cabbage,HIGH,Monash-derived,vegetable
cabbage,HIGH,Monash-derived,vegetable
Cabbage,HIGH,Monash-derived,vegetable
fresh cabbage,HIGH,Monash-derived,vegetable
organic apple,HIGH,Monash-derived,fruit
Apple,HIGH,Monash-derived,fruit
raw apple,HIGH,Monash-derived,fruit
fresh apple,HIGH,Monash-derived,fruit
apple,HIGH,Monash-derived,fruit
dried apple,HIGH,Monash-derived,fruit
Pear,HIGH,Monash-derived,fruit
organic pear,HIGH,Monash-derived,fruit
dried pear,HIGH,Monash-derived,fruit
fresh pear,HIGH,Monash-derived,fruit
raw pear,HIGH,Monash-derived,fruit
pear,HIGH,Monash-derived,fruit
mango,HIGH,Monash-derived,fruit
dried mango,HIGH,Monash-derived,fruit
organic mango,HIGH,Monash-derived,fruit
raw mango,HIGH,Monash-derived,fruit
Mango,HIGH,Monash-derived,fruit
fresh mango,HIGH,Monash-derived,fruit
Watermelon,HIGH,Monash-derived,fruit
fresh watermelon,HIGH,Monash-derived,fruit
raw watermelon,HIGH,Monash-derived,fruit
organic watermelon,HIGH,Monash-derived,fruit
watermelon,HIGH,Monash-derived,fruit
dried watermelon,HIGH,Monash-derived,fruit
Cherry,HIGH,Monash-derived,fruit
organic cherry,HIGH,Monash-derived,fruit
dried cherry,HIGH,Monash-derived,fruit
cherry,HIGH,Monash-derived,fruit
fresh cherry,HIGH,Monash-derived,fruit
raw cherry,HIGH,Monash-derived,fruit
organic peach,HIGH,Monash-derived,fruit
fresh peach,HIGH,Monash-derived,fruit
Peach,HIGH,Monash-derived,fruit
dried peach,HIGH,Monash-derived,fruit
peach,HIGH,Monash-derived,fruit
raw peach,HIGH,Monash-derived,fruit
nectarine,HIGH,Monash-derived,fruit
organic nectarine,HIGH,Monash-derived,fruit
fresh nectarine,HIGH,Monash-derived,fruit
dried nectarine,HIGH,Monash-derived,fruit
Nectarine,HIGH,Monash-derived,fruit
raw nectarine,HIGH,Monash-derived,fruit
Plum,HIGH,Monash-derived,fruit
plum,HIGH,Monash-derived,fruit
dried plum,HIGH,Monash-derived,fruit
raw plum,HIGH,Monash-derived,fruit
fresh plum,HIGH,Monash-derived,fruit
organic plum,HIGH,Monash-derived,fruit
fresh apricot,HIGH,Monash-derived,fruit
organic apricot,HIGH,Monash-derived,fruit
Apricot,HIGH,Monash-derived,fruit
dried apricot,HIGH,Monash-derived,fruit
apricot,HIGH,Monash-derived,fruit
raw apricot,HIGH,Monash-derived,fruit
blackberry,HIGH,Monash-derived,fruit
dried blackberry,HIGH,Monash-derived,fruit
fresh blackberry,HIGH,Monash-derived,fruit
raw blackberry,HIGH,Monash-derived,fruit
organic blackberry,HIGH,Monash-derived,fruit
Blackberry,HIGH,Monash-derived,fruit
lychee,HIGH,Monash-derived,fruit
raw lychee,HIGH,Monash-derived,fruit
organic lychee,HIGH,Monash-derived,fruit
fresh lychee,HIGH,Monash-derived,fruit
Lychee,HIGH,Monash-derived,fruit
dried lychee,HIGH,Monash-derived,fruit
dried persimmon,HIGH,Monash-derived,fruit
raw persimmon,HIGH,Monash-derived,fruit
fresh persimmon,HIGH,Monash-derived,fruit
organic persimmon,HIGH,Monash-derived,fruit
Persimmon,HIGH,Monash-derived,fruit
persimmon,HIGH,Monash-derived,fruit
fig,HIGH,Monash-derived,fruit
fresh fig,HIGH,Monash-derived,fruit
raw fig,HIGH,Monash-derived,fruit
organic fig,HIGH,Monash-derived,fruit
dried fig,HIGH,Monash-derived,fruit
Fig,HIGH,Monash-derived,fruit
raw guava,HIGH,Monash-derived,fruit
dried guava,HIGH,Monash-derived,fruit
guava,HIGH,Monash-derived,fruit
organic guava,HIGH,Monash-derived,fruit
fresh guava,HIGH,Monash-derived,fruit
Guava,HIGH,Monash-derived,fruit
organic date,HIGH,Monash-derived,fruit
date,HIGH,Monash-derived,fruit
raw date,HIGH,Monash-derived,fruit
dried date,HIGH,Monash-derived,fruit
Date,HIGH,Monash-derived,fruit
fresh date,HIGH,Monash-derived,fruit
Prune,HIGH,Monash-derived,fruit
organic prune,HIGH,Monash-derived,fruit
dried prune,HIGH,Monash-derived,fruit
fresh prune,HIGH,Monash-derived,fruit
raw prune,HIGH,Monash-derived,fruit
prune,HIGH,Monash-derived,fruit
dried raisin,HIGH,Monash-derived,fruit
Raisin,HIGH,Monash-derived,fruit
fresh raisin,HIGH,Monash-derived,fruit
raw raisin,HIGH,Monash-derived,fruit
organic raisin,HIGH,Monash-derived,fruit
raisin,HIGH,Monash-derived,fruit
Dried Apricot,HIGH,Monash-derived,fruit
fruit cocktail,HIGH,Monash-derived,fruit
Fruit Cocktail,HIGH,Monash-derived,fruit
boysenberry,HIGH,Monash-derived,fruit
dried boysenberry,HIGH,Monash-derived,fruit
organic boysenberry,HIGH,Monash-derived,fruit
fresh boysenberry,HIGH,Monash-derived,fruit
raw boysenberry,HIGH,Monash-derived,fruit
Boysenberry,HIGH,Monash-derived,fruit
organic wheat,HIGH,Monash-derived,grain
raw wheat,HIGH,Monash-derived,grain
fresh wheat,HIGH,Monash-derived,grain
wheat,HIGH,Monash-derived,grain
Wheat,HIGH,Monash-derived,grain
dried wheat,HIGH,Monash-derived,grain
raw rye,HIGH,Monash-derived,grain
dried rye,HIGH,Monash-derived,grain
fresh rye,HIGH,Monash-derived,grain
Rye,HIGH,Monash-derived,grain
organic rye,HIGH,Monash-derived,grain
rye,HIGH,Monash-derived,grain
barley,HIGH,Monash-derived,grain
organic barley,HIGH,Monash-derived,grain
dried barley,HIGH,Monash-derived,grain
Barley,HIGH,Monash-derived,grain
fresh barley,HIGH,Monash-derived,grain
raw barley,HIGH,Monash-derived,grain
Bulgur,HIGH,Monash-derived,grain
organic bulgur,HIGH,Monash-derived,grain
dried bulgur,HIGH,Monash-derived,grain
raw bulgur,HIGH,Monash-derived,grain
fresh bulgur,HIGH,Monash-derived,grain
bulgur,HIGH,Monash-derived,grain
Couscous,HIGH,Monash-derived,grain
couscous,HIGH,Monash-derived,grain
organic couscous,HIGH,Monash-derived,grain
dried couscous,HIGH,Monash-derived,grain
raw couscous,HIGH,Monash-derived,grain
fresh couscous,HIGH,Monash-derived,grain
wheat flour,HIGH,Monash-derived,grain
Wheat Flour,HIGH,Monash-derived,grain
whole wheat,HIGH,Monash-derived,grain
Whole Wheat,HIGH,Monash-derived,grain
Bran,HIGH,Monash-derived,grain
raw bran,HIGH,Monash-derived,grain
fresh bran,HIGH,Monash-derived,grain
bran,HIGH,Monash-derived,grain
organic bran,HIGH,Monash-derived,grain
dried bran,HIGH,Monash-derived,grain
raw farro,HIGH,Monash-derived,grain
fresh farro,HIGH,Monash-derived,grain
dried farro,HIGH,Monash-derived,grain
Farro,HIGH,Monash-derived,grain
organic farro,HIGH,Monash-derived,grain
farro,HIGH,Monash-derived,grain
raw spelt,HIGH,Monash-derived,grain
dried spelt,HIGH,Monash-derived,grain
Spelt,HIGH,Monash-derived,grain
spelt,HIGH,Monash-derived,grain
organic spelt,HIGH,Monash-derived,grain
fresh spelt,HIGH,Monash-derived,grain
baked beans,HIGH,Monash-derived,legume
Baked Beans,HIGH,Monash-derived,legume
Kidney Beans,HIGH,Monash-derived,legume
kidney beans,HIGH,Monash-derived,legume
Black Beans,HIGH,Monash-derived,legume
black beans,HIGH,Monash-derived,legume
organic lentils,HIGH,Monash-derived,legume
dried lentils,HIGH,Monash-derived,legume
lentils,HIGH,Monash-derived,legume
Lentils,HIGH,Monash-derived,legume
fresh lentils,HIGH,Monash-derived,legume
raw lentils,HIGH,Monash-derived,legume
chickpeas,HIGH,Monash-derived,legume
raw chickpeas,HIGH,Monash-derived,legume
organic chickpeas,HIGH,Monash-derived,legume
Chickpeas,HIGH,Monash-derived,legume
dried chickpeas,HIGH,Monash-derived,legume
fresh chickpeas,HIGH,Monash-derived,legume
split peas,HIGH,Monash-derived,legume
Split Peas,HIGH,Monash-derived,legume
Navy Beans,HIGH,Monash-derived,legume
navy beans,HIGH,Monash-derived,legume
Butter Beans,HIGH,Monash-derived,legume
butter beans,HIGH,Monash-derived,legume
organic soybeans,HIGH,Monash-derived,legume
raw soybeans,HIGH,Monash-derived,legume
fresh soybeans,HIGH,Monash-derived,legume
Soybeans,HIGH,Monash-derived,legume
dried soybeans,HIGH,Monash-derived,legume
soybeans,HIGH,Monash-derived,legume
Edamame,HIGH,Monash-derived,legume
organic edamame,HIGH,Monash-derived,legume
fresh edamame,HIGH,Monash-derived,legume
edamame,HIGH,Monash-derived,legume
dried edamame,HIGH,Monash-derived,legume
raw edamame,HIGH,Monash-derived,legume
pinto beans,HIGH,Monash-derived,legume
Pinto Beans,HIGH,Monash-derived,legume
Cannellini Beans,HIGH,Monash-derived,legume
cannellini beans,HIGH,Monash-derived,legume
raw milk,HIGH,Monash-derived,dairy
Milk,HIGH,Monash-derived,dairy
organic milk,HIGH,Monash-derived,dairy
dried milk,HIGH,Monash-derived,dairy
fresh milk,HIGH,Monash-derived,dairy
milk,HIGH,Monash-derived,dairy
Ice Cream,HIGH,Monash-derived,dairy
ice cream,HIGH,Monash-derived,dairy
soft cheese,HIGH,Monash-derived,dairy
Soft Cheese,HIGH,Monash-derived,dairy
Cottage Cheese,HIGH,Monash-derived,dairy
cottage cheese,HIGH,Monash-derived,dairy
dried yogurt,HIGH,Monash-derived,dairy
Yogurt,HIGH,Monash-derived,dairy
raw yogurt,HIGH,Monash-derived,dairy
fresh yogurt,HIGH,Monash-derived,dairy
yogurt,HIGH,Monash-derived,dairy
organic yogurt,HIGH,Monash-derived,dairy
Evaporated Milk,HIGH,Monash-derived,dairy
evaporated milk,HIGH,Monash-derived,dairy
condensed milk,HIGH,Monash-derived,dairy
Condensed Milk,HIGH,Monash-derived,dairy
fresh ricotta,HIGH,Monash-derived,dairy
raw ricotta,HIGH,Monash-derived,dairy
organic ricotta,HIGH,Monash-derived,dairy
ricotta,HIGH,Monash-derived,dairy
Ricotta,HIGH,Monash-derived,dairy
dried ricotta,HIGH,Monash-derived,dairy
dried custard,HIGH,Monash-derived,dairy
custard,HIGH,Monash-derived,dairy
fresh custard,HIGH,Monash-derived,dairy
raw custard,HIGH,Monash-derived,dairy
Custard,HIGH,Monash-derived,dairy
organic custard,HIGH,Monash-derived,dairy
Cream Cheese,HIGH,Monash-derived,dairy
cream cheese,HIGH,Monash-derived,dairy
raw buttermilk,HIGH,Monash-derived,dairy
organic buttermilk,HIGH,Monash-derived,dairy
dried buttermilk,HIGH,Monash-derived,dairy
buttermilk,HIGH,Monash-derived,dairy
fresh buttermilk,HIGH,Monash-derived,dairy
Buttermilk,HIGH,Monash-derived,dairy
sour cream,HIGH,Monash-derived,dairy
Sour Cream,HIGH,Monash-derived,dairy
honey,HIGH,Monash-derived,sweetener
dried honey,HIGH,Monash-derived,sweetener
fresh honey,HIGH,Monash-derived,sweetener
raw honey,HIGH,Monash-derived,sweetener
Honey,HIGH,Monash-derived,sweetener
organic honey,HIGH,Monash-derived,sweetener
High Fructose Corn Syrup,HIGH,Monash-derived,sweetener
high fructose corn syrup,HIGH,Monash-derived,sweetener
agave,HIGH,Monash-derived,sweetener
organic agave,HIGH,Monash-derived,sweetener
dried agave,HIGH,Monash-derived,sweetener
raw agave,HIGH,Monash-derived,sweetener
fresh agave,HIGH,Monash-derived,sweetener
Agave,HIGH,Monash-derived,sweetener
raw molasses,HIGH,Monash-derived,sweetener
organic molasses,HIGH,Monash-derived,sweetener
fresh molasses,HIGH,Monash-derived,sweetener
Molasses,HIGH,Monash-derived,sweetener
dried molasses,HIGH,Monash-derived,sweetener
molasses,HIGH,Monash-derived,sweetener
Sorbitol,HIGH,Monash-derived,sweetener
sorbitol,HIGH,Monash-derived,sweetener
organic sorbitol,HIGH,Monash-derived,sweetener
fresh sorbitol,HIGH,Monash-derived,sweetener
dried sorbitol,HIGH,Monash-derived,sweetener
raw sorbitol,HIGH,Monash-derived,sweetener
mannitol,HIGH,Monash-derived,sweetener
dried mannitol,HIGH,Monash-derived,sweetener
Mannitol,HIGH,Monash-derived,sweetener
organic mannitol,HIGH,Monash-derived,sweetener
raw mannitol,HIGH,Monash-derived,sweetener
fresh mannitol,HIGH,Monash-derived,sweetener
fresh xylitol,HIGH,Monash-derived,sweetener
dried xylitol,HIGH,Monash-derived,sweetener
xylitol,HIGH,Monash-derived,sweetener
raw xylitol,HIGH,Monash-derived,sweetener
Xylitol,HIGH,Monash-derived,sweetener
organic xylitol,HIGH,Monash-derived,sweetener
dried isomalt,HIGH,Monash-derived,sweetener
raw isomalt,HIGH,Monash-derived,sweetener
Isomalt,HIGH,Monash-derived,sweetener
fresh isomalt,HIGH,Monash-derived,sweetener
isomalt,HIGH,Monash-derived,sweetener
organic isomalt,HIGH,Monash-derived,sweetener
Maltitol,HIGH,Monash-derived,sweetener
raw maltitol,HIGH,Monash-derived,sweetener
dried maltitol,HIGH,Monash-derived,sweetener
organic maltitol,HIGH,Monash-derived,sweetener
maltitol,HIGH,Monash-derived,sweetener
fresh maltitol,HIGH,Monash-derived,sweetener
dried fructose,HIGH,Monash-derived,sweetener
organic fructose,HIGH,Monash-derived,sweetener
fructose,HIGH,Monash-derived,sweetener
fresh fructose,HIGH,Monash-derived,sweetener
raw fructose,HIGH,Monash-derived,sweetener
Fructose,HIGH,Monash-derived,sweetener
Apple Juice,HIGH,Monash-derived,beverage
apple juice,HIGH,Monash-derived,beverage
Pear Juice,HIGH,Monash-derived,beverage
pear juice,HIGH,Monash-derived,beverage
Mango Juice,HIGH,Monash-derived,beverage
mango juice,HIGH,Monash-derived,beverage
chamomile tea,HIGH,Monash-derived,beverage
Chamomile Tea,HIGH,Monash-derived,beverage
soy milk,HIGH,Monash-derived,beverage
Soy Milk,HIGH,Monash-derived,beverage
oat milk concentrate,HIGH,Monash-derived,beverage
Oat Milk Concentrate,HIGH,Monash-derived,beverage
organic rum,HIGH,Monash-derived,beverage
fresh rum,HIGH,Monash-derived,beverage
Rum,HIGH,Monash-derived,beverage
raw rum,HIGH,Monash-derived,beverage
rum,HIGH,Monash-derived,beverage
dried rum,HIGH,Monash-derived,beverage
Dessert Wine,HIGH,Monash-derived,beverage
dessert wine,HIGH,Monash-derived,beverage
garlic powder,HIGH,Monash-derived,condiment
Garlic Powder,HIGH,Monash-derived,condiment
Onion Powder,HIGH,Monash-derived,condiment
onion powder,HIGH,Monash-derived,condiment
Garlic Salt,HIGH,Monash-derived,condiment
garlic salt,HIGH,Monash-derived,condiment
onion flakes,HIGH,Monash-derived,condiment
Onion Flakes,HIGH,Monash-derived,condiment
bbq sauce,HIGH,Monash-derived,condiment
Bbq Sauce,HIGH,Monash-derived,condiment
sweet chili sauce,HIGH,Monash-derived,condiment
Sweet Chili Sauce,HIGH,Monash-derived,condiment
Honey Mustard,HIGH,Monash-derived,condiment
honey mustard,HIGH,Monash-derived,condiment
Teriyaki Sauce,HIGH,Monash-derived,condiment
teriyaki sauce,HIGH,Monash-derived,condiment
spinach,LOW,None,vegetable
Spinach,LOW,None,vegetable
fresh spinach,LOW,None,vegetable
dried spinach,LOW,None,vegetable
raw spinach,LOW,None,vegetable
organic spinach,LOW,None,vegetable
carrot,LOW,None,vegetable
Carrot,LOW,None,vegetable
raw carrot,LOW,None,vegetable
organic carrot,LOW,None,vegetable
dried carrot,LOW,None,vegetable
fresh carrot,LOW,None,vegetable
cucumber,LOW,None,vegetable
organic cucumber,LOW,None,vegetable
Cucumber,LOW,None,vegetable
dried cucumber,LOW,None,vegetable
raw cucumber,LOW,None,vegetable
fresh cucumber,LOW,None,vegetable
Zucchini,LOW,None,vegetable
raw zucchini,LOW,None,vegetable
dried zucchini,LOW,None,vegetable
fresh zucchini,LOW,None,vegetable
organic zucchini,LOW,None,vegetable
zucchini,LOW,None,vegetable
bell pepper,LOW,None,vegetable
Bell Pepper,LOW,None,vegetable
Tomato,LOW,None,vegetable
raw tomato,LOW,None,vegetable
tomato,LOW,None,vegetable
dried tomato,LOW,None,vegetable
fresh tomato,LOW,None,vegetable
organic tomato,LOW,None,vegetable
dried eggplant,LOW,None,vegetable
eggplant,LOW,None,vegetable
raw eggplant,LOW,None,vegetable
fresh eggplant,LOW,None,vegetable
organic eggplant,LOW,None,vegetable
Eggplant,LOW,None,vegetable
potato,LOW,None,vegetable
raw potato,LOW,None,vegetable
dried potato,LOW,None,vegetable
Potato,LOW,None,vegetable
fresh potato,LOW,None,vegetable
organic potato,LOW,None,vegetable
Sweet Potato,LOW,None,vegetable
sweet potato,LOW,None,vegetable
Lettuce,LOW,None,vegetable
lettuce,LOW,None,vegetable
fresh lettuce,LOW,None,vegetable
dried lettuce,LOW,None,vegetable
organic lettuce,LOW,None,vegetable
raw lettuce,LOW,None,vegetable
raw kale,LOW,None,vegetable
fresh kale,LOW,None,vegetable
organic kale,LOW,None,vegetable
kale,LOW,None,vegetable
Kale,LOW,None,vegetable
dried kale,LOW,None,vegetable
Green Beans,LOW,None,vegetable
green beans,LOW,None,vegetable
bok choy,LOW,None,vegetable
Bok Choy,LOW,None,vegetable
organic pumpkin,LOW,None,vegetable
fresh pumpkin,LOW,None,vegetable
dried pumpkin,LOW,None,vegetable
Pumpkin,LOW,None,vegetable
raw pumpkin,LOW,None,vegetable
pumpkin,LOW,None,vegetable
Radish,LOW,None,vegetable
fresh radish,LOW,None,vegetable
organic radish,LOW,None,vegetable
radish,LOW,None,vegetable
dried radish,LOW,None,vegetable
raw radish,LOW,None,vegetable
Parsnip,LOW,None,vegetable
raw parsnip,LOW,None,vegetable
fresh parsnip,LOW,None,vegetable
parsnip,LOW,None,vegetable
dried parsnip,LOW,None,vegetable
organic parsnip,LOW,None,vegetable
fresh chives,LOW,None,vegetable
dried chives,LOW,None,vegetable
raw chives,LOW,None,vegetable
Chives,LOW,None,vegetable
chives,LOW,None,vegetable
organic chives,LOW,None,vegetable
dried arugula,LOW,None,vegetable
organic arugula,LOW,None,vegetable
fresh arugula,LOW,None,vegetable
Arugula,LOW,None,vegetable
arugula,LOW,None,vegetable
raw arugula,LOW,None,vegetable
Collard Greens,LOW,None,vegetable
collard greens,LOW,None,vegetable
Mustard Greens,LOW,None,vegetable
mustard greens,LOW,None,vegetable
raw turnip,LOW,None,vegetable
organic turnip,LOW,None,vegetable
Turnip,LOW,None,vegetable
dried turnip,LOW,None,vegetable
fresh turnip,LOW,None,vegetable
turnip,LOW,None,vegetable
raw watercress,LOW,None,vegetable
fresh watercress,LOW,None,vegetable
Watercress,LOW,None,vegetable
watercress,LOW,None,vegetable
dried watercress,LOW,None,vegetable
organic watercress,LOW,None,vegetable
raw endive,LOW,None,vegetable
Endive,LOW,None,vegetable
fresh endive,LOW,None,vegetable
dried endive,LOW,None,vegetable
endive,LOW,None,vegetable
organic endive,LOW,None,vegetable
swiss chard,LOW,None,vegetable
Swiss Chard,LOW,None,vegetable
Spaghetti Squash,LOW,None,vegetable
spaghetti squash,LOW,None,vegetable
acorn squash,LOW,None,vegetable
Acorn Squash,LOW,None,vegetable
butternut squash,LOW,None,vegetable
Butternut Squash,LOW,None,vegetable
Banana,LOW,None,fruit
banana,LOW,None,fruit
fresh banana,LOW,None,fruit
dried banana,LOW,None,fruit
organic banana,LOW,None,fruit
raw banana,LOW,None,fruit
dried blueberry,LOW,None,fruit
blueberry,LOW,None,fruit
Blueberry,LOW,None,fruit
organic blueberry,LOW,None,fruit
raw blueberry,LOW,None,fruit
fresh blueberry,LOW,None,fruit
strawberry,LOW,None,fruit
dried strawberry,LOW,None,fruit
organic strawberry,LOW,None,fruit
Strawberry,LOW,None,fruit
fresh strawberry,LOW,None,fruit
raw strawberry,LOW,None,fruit
organic orange,LOW,None,fruit
fresh orange,LOW,None,fruit
dried orange,LOW,None,fruit
raw orange,LOW,None,fruit
Orange,LOW,None,fruit
orange,LOW,None,fruit
fresh kiwi,LOW,None,fruit
dried kiwi,LOW,None,fruit
raw kiwi,LOW,None,fruit
organic kiwi,LOW,None,fruit
kiwi,LOW,None,fruit
Kiwi,LOW,None,fruit
Pineapple,LOW,None,fruit
fresh pineapple,LOW,None,fruit
organic pineapple,LOW,None,fruit
pineapple,LOW,None,fruit
dried pineapple,LOW,None,fruit
raw pineapple,LOW,None,fruit
grape,LOW,None,fruit
Grape,LOW,None,fruit
raw grape,LOW,None,fruit
fresh grape,LOW,None,fruit
organic grape,LOW,None,fruit
dried grape,LOW,None,fruit
Raspberry,LOW,None,fruit
organic raspberry,LOW,None,fruit
dried raspberry,LOW,None,fruit
raspberry,LOW,None,fruit
raw raspberry,LOW,None,fruit
fresh raspberry,LOW,None,fruit
raw cantaloupe,LOW,None,fruit
organic cantaloupe,LOW,None,fruit
dried cantaloupe,LOW,None,fruit
cantaloupe,LOW,None,fruit
fresh cantaloupe,LOW,None,fruit
Cantaloupe,LOW,None,fruit
dried honeydew,LOW,None,fruit
honeydew,LOW,None,fruit
fresh honeydew,LOW,None,fruit
raw honeydew,LOW,None,fruit
Honeydew,LOW,None,fruit
organic honeydew,LOW,None,fruit
dried papaya,LOW,None,fruit
organic papaya,LOW,None,fruit
Papaya,LOW,None,fruit
fresh papaya,LOW,None,fruit
papaya,LOW,None,fruit
raw papaya,LOW,None,fruit
dragonfruit,LOW,None,fruit
organic dragonfruit,LOW,None,fruit
dried dragonfruit,LOW,None,fruit
fresh dragonfruit,LOW,None,fruit
raw dragonfruit,LOW,None,fruit
Dragonfruit,LOW,None,fruit
fresh passionfruit,LOW,None,fruit
raw passionfruit,LOW,None,fruit
organic passionfruit,LOW,None,fruit
passionfruit,LOW,None,fruit
Passionfruit,LOW,None,fruit
dried passionfruit,LOW,None,fruit
lime,LOW,None,fruit
dried lime,LOW,None,fruit
Lime,LOW,None,fruit
raw lime,LOW,None,fruit
fresh lime,LOW,None,fruit
organic lime,LOW,None,fruit
fresh lemon,LOW,None,fruit
Lemon,LOW,None,fruit
raw lemon,LOW,None,fruit
dried lemon,LOW,None,fruit
lemon,LOW,None,fruit
organic lemon,LOW,None,fruit
raw clementine,LOW,None,fruit
organic clementine,LOW,None,fruit
dried clementine,LOW,None,fruit
clementine,LOW,None,fruit
fresh clementine,LOW,None,fruit
Clementine,LOW,None,fruit
raw mandarin,LOW,None,fruit
dried mandarin,LOW,None,fruit
Mandarin,LOW,None,fruit
fresh mandarin,LOW,None,fruit
mandarin,LOW,None,fruit
organic mandarin,LOW,None,fruit
organic cranberry,LOW,None,fruit
dried cranberry,LOW,None,fruit
Cranberry,LOW,None,fruit
fresh cranberry,LOW,None,fruit
cranberry,LOW,None,fruit
raw cranberry,LOW,None,fruit
organic starfruit,LOW,None,fruit
starfruit,LOW,None,fruit
dried starfruit,LOW,None,fruit
raw starfruit,LOW,None,fruit
Starfruit,LOW,None,fruit
fresh starfruit,LOW,None,fruit
raw jackfruit,LOW,None,fruit
Jackfruit,LOW,None,fruit
fresh jackfruit,LOW,None,fruit
organic jackfruit,LOW,None,fruit
jackfruit,LOW,None,fruit
dried jackfruit,LOW,None,fruit
raw rice,LOW,None,grain
Rice,LOW,None,grain
organic rice,LOW,None,grain
rice,LOW,None,grain
dried rice,LOW,None,grain
fresh rice,LOW,None,grain
raw oats,LOW,None,grain
oats,LOW,None,grain
fresh oats,LOW,None,grain
Oats,LOW,None,grain
organic oats,LOW,None,grain
dried oats,LOW,None,grain
Quinoa,LOW,None,grain
organic quinoa,LOW,None,grain
fresh quinoa,LOW,None,grain
quinoa,LOW,None,grain
