recipe_name,recipe_url,servings_text,cook_time_text,index_page,description,recipe_yield,prep_time,cook_time,total_time,ingredients,instructions,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,is_low_fodmap,parse_status
Cilantro Green Rice with Spinach & Lime,https://www.monashfodmap.com/recipe/cilantro-green-rice-with-spinach-lime/,Serves: 6,Cook: 20 minutes,2,"If you&#x27;re looking for a simple and fresh side dish, this recipe by Amy Laura from FODifyIt! is for you!",6,PT10M,PT20M,PT30M,"2¾ cups Low FODMAP Chicken Stock, or water | ½ tsp fine sea salt | 1½ cups white rice; I use basmati because it&#x27;s fluffy | 2 tbsps low FODMAP garlic-infused oil, made with extra virgin olive oil | 1 cup fresh baby spinach | ¼ cup thin sliced scallions, green parts only | 1 cup fresh medium packed cilantro, mostly leaves, chopped fine | Juice of 1 lime (2 tbsps), plus more to your taste","Bring the stock or water with salt to a boil in a medium saucepan over high heat. Add the rice and boil for 2 minutes. Reduce to simmer and cover with a lid. Simmer for 15 minutes or until the rice is tender and fluffs nicely with a fork. Remove from heat and keep covered. | Pour the oil into a small sauté pan or nonstick skillet over medium high heat until it shimmers. Add the spinach and scallion greens. Stir with a spatula until the spinach is tender. This will take 2 to 3 minutes and the spinach will reduce considerably. | Spoon the spinach and scallions with pan liquid into a blender along with the cilantro and lime juice. Give it a few pulses and scrape down with a spatula. Continue to pulse until everything begins to combine and you have a coarse pesto consistency. If you have a stubborn mixture, add 1 tablespoon (15 ml) of water to get things moving. | Spoon the mixture into the rice. Gently stir and fluff to incorporate. Taste and adjust for for salt and lime. Serve immediately. | Stored in an airtight container, green rice will keep up to 3 days in the refrigerator.",1174.0,5.04,52.03,5.1,1.63,0.44,True,ok
Vanilla Flan with Caramel Sauce,https://www.monashfodmap.com/recipe/vanilla-flan-with-caramel-sauce/,Serves: 6,Cook: 35 minutes,2,This showstopping dessert by Amy Laura from FODifyIt! is sure to deliver low FODMAP delight!,6,PT20M,PT35M,PT55M,"½ cup sugar | 3 tbsps water | 3 large eggs plus 2 large egg yolks, room temperature | 1 cup plain, unsweetened almond milk, room temperature | ¾ cup canned full-fat coconut milk for cooking, containing no inulin, well-stirred, room temperature | ½ cup sugar | 1 tbsp vanilla extract (essence) | Pinch fine sea salt","Preheat oven to 325 F / 163 C | Caramel: Pour the sugar and water into a medium saucepan over medium high heat. Swirl the pan for 1 to 2 minutes until the sugar dissolves. Let the sugar water simmer gently and cook undisturbed for 3 minutes. As the color begins to turn a light honey color, gently swirl the pan 3 times, then allow the caramel to continue to simmer until it turns medium-dark amber, but not dark brown. Be sure not to stir or swirl too much or it will crystallize and seize up. This step should take about 7 minutes. | Place the flan mold inside the rimmed baking pan. Pour the hot caramel into the mold. At this stage the mixture is lava hot so be very careful to not touch, splatter, or dip your finger in for a taste. Using heavy oven mitts, tip the mold back and forth to coat the bottom with caramel, and slightly up the sides. Return it to the baking pan and let cool for 10 minutes. | Flan: Pour the flan ingredients into a blender and purée for 2 minutes. Pour through a fine mesh metal strainer over the caramel. It may make a loud crack! sound that is perfectly normal if the caramel is still warm when the cold liquids are added. Place in the oven. Pour hot water into the larger baking pan, surrounding the mold in 1/2-inch (1.25 cm) deep water. This will create steam for a creamy, tender flan. | Baking times will vary according to your oven and the pan you use. Bake for 25 minutes and check by inserting a knife into the flan, but not all the way through to the caramel as this will leave a mark on the top of the flan when it’s turned out onto a platter. When the knife comes out clean and the center of the flan is only slightly jiggly, it is done. If still soupy, bake 10 more minutes. (There have been cold winter days when I have cooked mine for 50 minutes). | Remove from the oven and use heavy mitts to lift the mold from the water bath. Allow to cool for 20 minutes, cover with plastic wrap and refrigerate 8 hours to overnight. | When ready to serve, run a knife around the edges of the mold to release the flan. Invert onto a rimmed serving platter to contain the caramel. Slice and serve as is, or topped with a kiwi slice and a strawberry",898.0,3.49,35.28,7.39,0.12,35.26,True,ok
Green Chile Crab Cakes,https://www.monashfodmap.com/recipe/green-chile-crab-cakes/,Serves: 4,Cook: 15 minutes,2,An unforgettable low FODMAP starter for your next dinner party thanks to Amy Laura from FODifyIt!,4,PT35M,PT15M,PT50M,"Lump crab meat, fresh or canned and drained, cleaned and divided | Canned mild chopped green chiles, drained | ⅓ cup plain low FODMAP gluten-free panko breadcrumbs | 2 tbsps mayonnaise, containing no onion, garlic or other high FODMAP ingredients | 1 egg white, whisked | Juice of ½ lime, plus 1 more for finishing spritz and garnish | 2 tsps minced chives | ½ tsp fresh ground black pepper | ¼ cup low FODMAP gluten-free all-purpose baking flour, containing xanthan gum | ¼ tsp fine sea salt | 2 tbsps canola oil for pan cooking | 1 cup thinly sliced Romaine lettuce, chilled | ¼ tsp smoked paprika for dusting garnish","Place 3/4 of the crab meat in a medium mixing bowl. Chill the remaining crab in the fridge, covered. Add the chiles, breadcrumbs, mayo, egg white, lime juice, chives and pepper. Mix gently to combine. Form 4 patties, pressing into 1/2-inch (1.25 cm) thick rounds. Place on a plate and chill in the fridge for 30 minutes to set. | Whisk the coating flour, salt and pepper in a small wide bowl. Lightly dip both sides of each patty in the flour. | Add oil to a large non-stick skillet; heat over medium-high heat until shimmering, then add the patties. Cook covered for 3 to 4 minutes without disturbing. When the bottom is golden brown, gently flip with a spatula. Reduce the heat to medium low, cover and cook undisturbed for 4 minutes. Check for golden brown color. They should be crispy on the outside and tender inside. If they feel too soft, cover and cook 2 minutes longer. If needed, add 2 teaspoons (10 ml) more oil to the pan. Move to a plate and tent with foil to rest 3 minutes. | To plate as an appetizer: place a handful of shredded Romaine on 4 plates, then place one patty each topped with a dollop of the remaining crab meat. Spritz the cakes and lettuce with lime juice. Garnish with a lime wedge and a pinch of smoked paprika. Serve immediately.",1216.0,12.95,14.18,19.62,3.14,2.14,True,ok
Pollo Dorado with Lemon Poblano Sauce,https://www.monashfodmap.com/recipe/pollo-dorado-with-lemon-poblano-sauce/,Serves: 2,Cook: 15 minutes,2,"Crispy chicken, herby sauce and the perfect amount of heat. You don&#x27;t want to miss this recipe from FODifyIt!&#x27;s Amy Laura!",2,PT35M,PT15M,PT50M,"2 tbsps low FODMAP garlic-infused oil, made with canola oil | 2 medium fresh poblano peppers, roasted and prepped, rough chopped | ½ cup fresh, medium packed cilantro leaves, some stems are okay | scallions, green parts only, roughly chopped | ¼ cup unsweetened, plain almond milk | 2 tbsps plain dairy-free, unsweetened coconut yoghurt | Juice of 1 lemon | ¼ tsp ground cumin | ¼ scant tsp fine sea salt | ¼ scant tsp fresh ground black pepper | 2 chicken breasts, boneless, skinless | ½ cup low FODMAP gluten-free all-purpose baking flour, containing xanthan gum | 1 tsp fine sea salt | ½ tsp fresh ground black pepper | 1 large egg | 25 regular style corn tortilla chips, gluten-free, blended into coarse crumbs in a food processor (makes approx. 1 cup) | 3 tbsps canola oil | Cooking spray oil | Fresh cilantro, finely chopped for garnish","Sauce: | Use a medium non-stick skillet to make the garlic infused oil as instructed on page 50. Once the garlic bits are removed, leave the oil in the pan off the heat. | Place the poblano meat, cilantro, scallion greens, almond milk, yogurt, lemon juice, cumin, salt and pepper into a blender. Purée for 1 minute until smooth with tiny bits of herbs showing. Place the skillet with oil over medium heat. Pour in the sauce and stir until warm and just bubbly. Remove from heat and cover with a lid to keep warm. | Chicken: | Preheat oven to 425 F / 220 C | Butterfly the chicken by placing your hand flat on top of one breast and cut into the side lengthwise to divide in half, stopping at 1-inch (2.5 cm) before slicing all the way through. Open the fillet flat and it will be heart-shaped. Repeat for the second breast. Cut away any fatty pieces. Make sure your knife is nice and sharp, otherwise the meat will shred as you slice into it (speaking from experience here). | Set up your dredging station in 3 shallow bowls or pie pans as follows: | 1. Mix the flour with salt and pepper in the first pan and whisk to mix. | 2. Beat the egg in the second pan. | 3. Pour the tortilla chip crumbs into the last pan. | First, dredge the breast in the flour to coat completely. Shake off any excess. Then dredge in the beaten egg, again covering completely. Finally, coat in the chip crumbs using your hands to push the crumbs into the breast for maximum coverage. Repeat for second breast. | Grease a small, rimmed baking sheet with canola oil. Place the chicken on the pan and coat the tops lightly with cooking spray oil. Bake for 10 minutes. Flip with a spatula. Bake 10 minutes longer until golden crisp and done, showing no pink in the centers. Timing will vary according to the thickness and temperature of your chicken. If the sauce has cooled, place it over medium high heat until it’s just bubbly and warmed through. | Pour half of the sauce onto a dinner plate. Top with a golden chicken breast. Sprinkle with cilantro. Repeat for the second plate. Serve immediately.",4174.0,70.24,52.27,53.84,10.5,3.83,True,ok
Hummus,https://www.monashfodmap.com/recipe/hummus/,Serves: 6-8,Cook: 0 minutes,2,A delicious low FODMAP version of a classic dip,6-8,PT5M,PT0M,PT5M,"Canned chickpeas | 1/4 cup lemon juice, freshly squeezed | 1/2 cup tahini, hulled | 1/3 cup garlic infused olive oil | Water | Salt and pepper","Drain the chickpeas and rinse off any remaining canning liquid. | Add chickpeas, lemon juice, tahini and garlic infused olive oil to a food processor or blender. Blitz until combined and a paste is formed. | Season with salt and pepper to taste preference. | Add water gradually and blitz until the desired (thinner) consistency is met. | Serve with low FODMAP crackers or vegetable sticks",1592.0,7.87,9.3,33.2,6.9,0.75,True,ok
Chocolate Mousse,https://www.monashfodmap.com/recipe/chocolate-mousse/,Serves: 6,Cook: 5 minutes,2,A quick and easy family favourite dessert!,6,PT15M,PT5M,PT20M,"Baking dark chocolate, roughly chopped | 3 eggs | ¼ cup caster sugar | 1 tbsp cocoa powder | Lactose free thickened cream","Melt chocolate by placing it in a heatproof bowl over a pan of gently simmering water (don&#x27;t let the bowl touch the water) and stir until melted. | Remove bowl from heat and set aside to cool slightly. | Place eggs and sugar in a large bowl and beat with electric beaters for around 5 minutes, or until the mixture is pale, thick and doubled in volume. | Fold cocoa powder and cooled chocolate into the egg mix until combined. | In a separate bowl, whip cream until thickened (be careful not to over-beat). | Use a large metal spoon to carefully fold the cream into the chocolate mixture, trying to keep the mixture as light as possible. | Spoon into 6 serving glasses and chill in fridge for at least 1 hour. Remove from fridge 15 minutes before serving.",2106.0,6.0,41.9,35.7,0.9,36.5,True,ok
Chocolate Mug Cake,https://www.monashfodmap.com/recipe/chocolate-mug-cake/,Serves: 1,Cook: 2 minutes,3,"This super simply one serve mug cake is quick, easy, low FODMAP and delicious!",1,PT5M,PT2M,PT7M,4 tbsp gluten free flour | 3 tbsp sugar | 2 tbsp cocoa powder | ½ tsp baking powder | 3 tbsp lactose free milk | 1 tbsp vegetable oil | 1 tsp vanilla extract | 1 tbsp dark chocolate (chopped or chocolate chips) | Optional - icing sugar for topping,"Add all ingredients in a microwave-safe mug, stir until combined | (Top with extra chocolate if you like!) | Microwave for 1½-2 minutes. Watch to make sure it doesn&#x27;t spill over the top of the mug | Remove and let cool for 1 minute, then top with icing sugar (optional)",2864.0,7.32,102.4,27.6,4.71,62.18,True,ok
"Low FODMAP Silky Red Mole Sauce with Red Chile Powder, Chocolate and Peanut Butter",https://www.monashfodmap.com/recipe/low-fodmap-silky-red-mole-sauce-with-red-chile-powder-chocolate-and-peanut-butter/,Serves: 6,Cook: 20,3,A quick and easy low FODMAP sauce recipe from Fodify It!,6,PT10M,PT20M,PT30M,"low FODMAP garlic-infused canola or vegetable oil | pure mild red chile powder* | smoked paprika | ground cinnamon | ground cumin | fine ground black pepper | low FODMAP chicken broth (without onion or garlic) | canned, drained, roughly chopped whole plum tomatoes | thinly sliced scallions, green parts only | smooth peanut butter | plus 1tsp Dutch-processed cocoa powder | dark baking chocolate (70% cocoa minimum), broken into pieces^ | light brown sugar | salt","Pour the garlic oil into a large nonstick skillet over medium high heat. When it shimmers, add the red chile powder, paprika, cinnamon, cumin, and black pepper. Stir for 1 minute using a wooden or heatproof silicone spatula. | Add the broth and stir to combine for 30 seconds. Reduce heat to medium and add the remaining ingredients. Stir until the chocolate is melted and all ingredients are fully incorporated, scraping the bottom of the skillet where the chocolate may settle until the mole comes to a low boil. Remove from heat. | Carefully spoon or ladle into a blender. Place a heavy, clean kitchen towel over the lid to avoid hot splatters. Blitz on high until smooth, about 2 minutes. | Pour the mole back into the pan over medium heat. Continuously stir to reduce for about 3 minutes or until it has the consistency of a silky turkey or brown gravy. If it is too thick, add 1 tablespoon of hot water or broth at a time until you have desired thickness. Check for salt (you may want to add ¼ tsp more, to your taste).",613.0,3.51,6.9,11.57,1.82,5.01,True,ok
Vanilla Custard,https://www.monashfodmap.com/recipe/vanilla-custard/,Serves: 6,Cook: 10 minutes,3,Make your own lactose-free vanilla custard! Perfect to pair with other low FODMAP desserts.,6,PT10M,PT10M,PT20M,6 egg yolks | Caster sugar | Thickened cream (lactose free if required) | Lactose free milk | 1 tsp vanilla essence | 2 tsp cornflour/cornstarch,"Add milk, vanilla and 200ml of the cream into a saucepan. | Heat on a low heat until just under a boil. | Whisk the egg yolks, caster sugar and cornflour until light and creamy in a large measuring jug or bowl. | Pour the heated cream into the eggs in a long steady stream, whisking the eggs continually. | Pour this thin custard back into the saucepan then whisk continually on a medium heat until the custard thickens and starts to gently bubble. | Remove from the heat immediately, stir in the extra 100ml of cream and continue whisking for a minute or so to ensure the custard is smooth with no lumps. | Serve immediately.",1243.0,3.0,8.2,28.7,0.0,7.7,True,ok
Lemon Raspberry Friands,https://www.monashfodmap.com/recipe/lemon-raspberry-friands/,Serves: 12,Cook: 20 minutes,3,This delicious recipe creates a lovely afternoon tea or dessert with accompanying homemade custard to use up those egg yolks!,12,PT20M,PT20M,PT40M,Icing sugar | Almond meal | Cassava flour | Zest of 1 lemon | ½ tsp salt | Egg whites (approx 6 eggs) | Butter | ½ tsp vanilla extract | 24 raspberries,"Pre-heat the oven to 180°C /350°F or 160°C fan forced. | Grease a 12-hole friand or muffin tin. | Combine the icing sugar, almond meal, cassava flour, lemon zest and salt in a large mixing bowl. | In a separate bowl, whisk the egg whites until they become white, light, and just at the soft peak stage. | Gently fold the whisked egg whites into the dry mixture, followed by the melted butter and vanilla extract. | Divide the batter evenly between the friand or muffin tin holes, filling them about ⅔ full. Then place 2 raspberries on top of each friand. | Bake in the pre-heated oven for 20 minutes, then remove from the oven. | Let them cool in the tins for 10 minutes, and then transfer to a wire rack to finish cooling. | Before serving, dust the friands with icing sugar.",1275.0,4.9,24.4,21.1,1.6,17.6,True,ok
